P/N,cap (pf),c/tol,L(mil),L(mm),L/tol,L'/tol,W(mil),W(mm),W/tol,W'/tol,t(mil),t(mm),t/tol,t'/tol,RWV,Type,TC,K-val,,
SKT00C181M12A6,180,M,10,0.25,4,0.10,10,0.25,4,0.10,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT00C221M12A6,220,M,10,0.25,4,0.10,10,0.25,4,0.10,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT00C271M12A6,270,M,10,0.25,4,0.10,10,0.25,4,0.10,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT01C331M12A6,330,M,15,0.38,5,0.13,15,0.38,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT01C391M12A6,390,M,15,0.38,5,0.13,15,0.38,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT01C471M12A6,470,M,15,0.38,5,0.13,15,0.38,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT01C561M12A6,560,M,15,0.38,5,0.13,15,0.38,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT02C681M12A6,680,M,20,0.50,5,0.13,20,0.50,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT02C821M12A6,820,M,20,0.50,5,0.13,20,0.50,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT03C102M12A6,1000,M,25,0.63,5,0.13,25,0.63,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT03C122M12A6,1200,M,25,0.63,5,0.13,25,0.63,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT04C152M12A6,1500,M,30,0.76,5,0.13,30,0.76,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT04C182M12A6,1800,M,30,0.76,5,0.13,30,0.76,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT05C222M12A6,2200,M,35,0.88,5,0.13,35,0.88,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT06C272M12A6,2700,M,40,1.00,5,0.13,40,1.00,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT06C332M12A6,3300,M,40,1.00,5,0.13,40,1.00,5,0.13,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT07C392M12A6,3900,M,50,1.25,10,0.25,50,1.25,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT07C472M12A6,4700,M,50,1.25,10,0.25,50,1.25,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT07C562M12A6,5600,M,50,1.25,10,0.25,50,1.25,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT08C682M12A6,6800,M,60,1.50,10,0.25,60,1.50,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT09C822M12A6,8200,M,70,1.75,10,0.25,70,1.75,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT09C103M12A6,10000,M,70,1.75,10,0.25,70,1.75,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT10C123M12A6,12000,M,80,2.00,10,0.25,80,2.00,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT11C153M12A6,15000,M,90,2.25,10,0.25,90,2.25,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
SKT11C183M12A6,18000,M,90,2.25,10,0.25,90,2.25,10,0.25,6,0.15,1,0.025,10,C,X7S,50000,2016-11-10 10:38:41,2016-11-10 10:38:41
